,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïΩãœ,ç≈ïpíl,íÜâõíl,ïWèÄïŒç∑
1.45387E+12,blue,yellow,0.068049887,11.56848073,blue,cyan,0.046394558,7.88707483,blue,magenta,0.03968254,6.746031746,yellow,blue,0.068049887,11.56848073,yellow,cyan,0.044036281,7.4861678,yellow,magenta,0.025079365,4.263492063,cyan,blue,0.046394558,7.88707483,cyan,yellow,0.044036281,7.4861678,cyan,magenta,0.018707483,3.180272109,magenta,blue,0.03968254,6.746031746,magenta,yellow,0.025079365,4.263492063,magenta,cyan,0.018707483,3.180272109,1.013310684,-1.82408701,6.110213297,7.383572387,-0.477437209,5.916491333,6.634385527,4.747201554,3.416685961,M-Y,7.300425749,6.911791383,7.015873016,1.283308926
1.45387E+12,blue,yellow,0.06829932,11.61088435,blue,cyan,0.045918367,7.806122449,blue,magenta,0.039478458,6.711337868,yellow,blue,0.06829932,11.61088435,yellow,cyan,0.045283447,7.698185941,yellow,magenta,0.039954649,6.792290249,cyan,blue,0.045918367,7.806122449,cyan,yellow,0.045283447,7.698185941,cyan,magenta,0.028798186,4.89569161,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.039954649,6.792290249,magenta,cyan,0.028798186,4.89569161,2.373160498,-1.971558106,7.78945941,8.222667393,0.989602343,5.789208832,8.261133317,2.961246148,4.215467319,M-C,4.771470221,4.891836735,4.891836735,0.664454607
1.45387E+12,blue,yellow,0.06845805,11.63786848,blue,cyan,0.045873016,7.798412698,blue,magenta,0.039637188,6.738321995,yellow,blue,0.06845805,11.63786848,yellow,cyan,0.04154195,7.062131519,yellow,magenta,0.049387755,8.395918367,cyan,blue,0.045873016,7.798412698,cyan,yellow,0.04154195,7.062131519,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039637188,6.738321995,magenta,yellow,0.049387755,8.395918367,magenta,cyan,0.02877551,4.891836735,5.816093304,10.12550118,2.179840431,-2.514011047,3.844676729,3.172053458,0.781551719,5.04416731,5.7968905,,,,,
1.45387E+12,blue,yellow,0.06845805,11.63786848,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039546485,6.722902494,yellow,blue,0.06845805,11.63786848,yellow,cyan,0.046598639,7.921768707,yellow,magenta,0.045034014,7.655782313,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.046598639,7.921768707,cyan,magenta,0.022743764,3.866439909,magenta,blue,0.039546485,6.722902494,magenta,yellow,0.045034014,7.655782313,magenta,cyan,0.022743764,3.866439909,3.454160628,3.504971655,-2.98616106,0.425219166,8.608278095,7.481359728,4.35261452,4.506506064,2.886816154,,,,,
1.45387E+12,blue,yellow,0.067777778,11.52222222,blue,cyan,0.046439909,7.89478458,blue,magenta,0.034761905,5.90952381,yellow,blue,0.067777778,11.52222222,yellow,cyan,0.039274376,6.676643991,yellow,magenta,0.030680272,5.215646259,cyan,blue,0.046439909,7.89478458,cyan,yellow,0.039274376,6.676643991,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.034761905,5.90952381,magenta,yellow,0.030680272,5.215646259,magenta,cyan,0.028752834,4.887981859,0.115349761,12.36475424,6.694025618,1.813794115,2.434647439,4.663578809,8.485333093,6.883693896,4.147244195,,,,,
1.45387E+12,blue,yellow,0.068390023,11.62630385,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039546485,6.722902494,yellow,blue,0.068390023,11.62630385,yellow,cyan,0.041972789,7.13537415,yellow,magenta,0.049297052,8.380498866,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.041972789,7.13537415,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039546485,6.722902494,magenta,yellow,0.049297052,8.380498866,magenta,cyan,0.02877551,4.891836735,7.645032845,1.461560531,5.185638374,12.23307547,11.96445126,9.362629043,5.409760293,5.733093953,8.777438389,,,,,
1.45387E+12,blue,yellow,0.074852608,12.72494331,blue,cyan,0.045963719,7.8138322,blue,magenta,0.039478458,6.711337868,yellow,blue,0.074852608,12.72494331,yellow,cyan,0.037278912,6.337414966,yellow,magenta,0.049410431,8.399773243,cyan,blue,0.045963719,7.8138322,cyan,yellow,0.037278912,6.337414966,cyan,magenta,0.028730159,4.884126984,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.049410431,8.399773243,magenta,cyan,0.028730159,4.884126984,1.005534523,8.126157117,10.38897424,1.934564919,-1.253202122,5.940080922,3.255491273,2.520350583,6.946916386,,,,,
1.45387E+12,blue,yellow,0.076122449,12.94081633,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039501134,6.715192744,yellow,blue,0.076122449,12.94081633,yellow,cyan,0.040952381,6.961904762,yellow,magenta,0.02600907,4.42154195,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.040952381,6.961904762,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.02600907,4.42154195,magenta,cyan,0.02877551,4.891836735,2.306819522,9.329459848,9.991130059,0.671885519,1.274865962,7.660273774,2.214742409,3.856801817,5.140617149,,,,,
1.45387E+12,blue,yellow,0.068185941,11.59160998,blue,cyan,0.046462585,7.898639456,blue,magenta,0.03952381,6.719047619,yellow,blue,0.068185941,11.59160998,yellow,cyan,0.02893424,4.918820862,yellow,magenta,0.040294785,6.850113379,cyan,blue,0.046462585,7.898639456,cyan,yellow,0.02893424,4.918820862,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.03952381,6.719047619,magenta,yellow,0.040294785,6.850113379,magenta,cyan,0.02877551,4.891836735,0.424170341,-2.281308605,6.189923581,9.546096491,4.969034042,4.984890763,3.661395105,3.889682855,8.553934457,,,,,
1.45387E+12,blue,yellow,0.075102041,12.76734694,blue,cyan,0.046394558,7.88707483,blue,magenta,0.038548753,6.553287982,yellow,blue,0.075102041,12.76734694,yellow,cyan,0.025056689,4.259637188,yellow,magenta,0.049546485,8.422902494,cyan,blue,0.046394558,7.88707483,cyan,yellow,0.025056689,4.259637188,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.038548753,6.553287982,magenta,yellow,0.049546485,8.422902494,magenta,cyan,0.028752834,4.887981859,0.25834521,6.046962942,1.583322242,0.955894944,13.06896966,2.850863792,9.019344809,7.626251656,7.93980534,,,,,
